name,usage_count,file,path,description,line_number
filter,269,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,No description available,61
main,242,PyScanner.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\PyScanner.py,"Main function to initialize log, perform scan, and log results.",94
main,242,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,"Main function to initialize log, perform search/replace, and log results.",114
main,242,Table.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\Table.py,No description available,89
main,242,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,760
main,242,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,831
main,242,config_modules.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\config_modules.py,No description available,117
main,242,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,"Main function to initialize log, perform search/replace, and log results.",108
start,233,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Start the monitoring thread.,256
index,83,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,Render the selection interface,357
__init__,54,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,No description available,9
__init__,54,sensitivity_integration.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_integration.py,No description available,23
__init__,54,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,No description available,33
__init__,54,calculations_sensitivity_adapter.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\calculations_sensitivity_adapter.py,No description available,17
__init__,54,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,33
__init__,54,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,22
__init__,54,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,No description available,57
__init__,54,Sensitivity_File_Manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sensitivity_File_Manager.py,No description available,9
__init__,54,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Initialize the monitor for a specific version.,208
generate,34,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Generator function for the SSE stream.,422
remove_existing_file,21,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,63
remove_existing_file,21,economic_summary.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Data_processors_and_transformers\economic_summary.py,Remove a file if it exists.,16
remove_existing_file,21,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,63
pad_or_trim,15,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,171
pad_or_trim,15,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,171
run_script,14,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,No description available,135
run_script,14,Calculations_and_Sensitivity.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations_and_Sensitivity.py,No description available,105
store_calculation_result,12,Sensitivity_File_Manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sensitivity_File_Manager.py,Stores calculation results in JSON format with metadata.,111
store_calculation_result,12,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Stores sensitivity calculation results in a standardized format.,316
autopct_filter,12,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,Show percentage only if >= 3%.,761
is_excluded_file,12,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Check if a file should be excluded based on its name.,42
log_matches,12,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Write matches and total files processed to the log file in tabular format.,25
autopct_filter,12,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,Show percentage only if >= 3%.,690
autopct_filter,12,cfa_plotting.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\cfa_plotting.py,Show percentage only if >= 3%.,206
initialize_log,12,PyScanner.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\PyScanner.py,Clear previous content and initialize the log file.,16
initialize_log,12,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,Clear previous content and initialize the log file.,17
initialize_log,12,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Clear previous content and initialize the log file.,17
log_matches,12,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,Write matches and total files processed to the log file in tabular format.,25
is_excluded_file,12,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,Check if a file should be excluded based on its name.,42
is_excluded_file,12,PyScanner.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\PyScanner.py,Check if a file should be excluded based on its name.,42
log_matches,12,PyScanner.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\PyScanner.py,Write matches to the log file in tabular format.,26
stop,10,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,Stop the monitoring thread.,264
calculate_revenue_and_expenses_from_modules,9,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,275
calculate_annual_revenue,9,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,76
calculate_annual_revenue,9,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,76
calculate_revenue_and_expenses_from_modules,9,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,275
load_configuration,8,Load.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Load.py,No description available,79
plot_aggregated,8,PNG_PLOT.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\PNG_PLOT.py,No description available,565
save_to_csv,8,PNG_PLOT.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\PNG_PLOT.py,No description available,53
load_configuration,8,Configuration_Differences.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\Configuration_Differences.py,No description available,12
save_sensitivity_config,7,Sen_Config.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sen_Config.py,Saves sensitivity configuration with appropriate naming convention.,139
save_sensitivity_config,7,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Saves a modified configuration for sensitivity analysis.,158
apply_sensitivity_variation,7,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Applies a sensitivity variation to a parameter in the configuration module.,189
get_logger,7,sensitivity_logging.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_logging.py,Get a logger for a specific component.,69
apply_sensitivity_variation,7,Sen_Config.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sen_Config.py,Applies sensitivity variation to the specified parameter.,32
parse_filtered_values,6,config_modules.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\config_modules.py,No description available,13
run_scripts,6,Sub.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sub.py,No description available,31
strip_value,6,Sen_Config.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sen_Config.py,Strips quotes from numeric values and keeps strings quoted.,21
generate_sensitivity_configs,6,Sen_Config.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sen_Config.py,Generates configuration modules for sensitivity analysis.,71
parse_filtered_values,6,Sen_Config.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Sen_Config.py,No description available,11
generate_variable_opex_table,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,193
generate_cumulative_opex_table,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,207
strip_value,6,config_modules.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\config_modules.py,Strips quotes from numeric values and keeps strings quoted.,23
search_and_replace,6,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,Recursively search and replace phrases in all Python files.,67
parse_versions,6,AggregatedSubPlots.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\AggregatedSubPlots.py,No description available,26
save_updated_file,6,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,Rename the original file by adding 'Original' to its name for archival purposes.,50
parse_versions,6,PNG_PLOT.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\PNG_PLOT.py,No description available,58
parse_properties,6,PNG_PLOT.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\PNG_PLOT.py,No description available,76
format_number,6,AggregatedSubPlots.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\AggregatedSubPlots.py,No description available,62
parse_properties,6,AggregatedSubPlots.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\AggregatedSubPlots.py,No description available,30
extract_selected_properties,6,AggregatedSubPlots.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\AggregatedSubPlots.py,No description available,98
generate_fixed_opex_table,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,179
calculate_annual_operating_expenses,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,85
read_config_module,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,266
calculate_federal_tax,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,254
generate_variable_opex_table,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,193
generate_cumulative_opex_table,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,207
save_opex_tables,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,234
calculate_state_tax,6,Old_Script.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\Old_Script.py,No description available,247
save_opex_tables,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,234
calculate_state_tax,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,247
calculate_federal_tax,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,254
read_config_module,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,266
calculate_annual_operating_expenses,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,85
generate_fixed_opex_table,6,CFA.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Core_calculation_engines\CFA.py,No description available,179
medieval_parse_and_sanitize,6,formatter.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Configuration_management\formatter.py,Parse and sanitize configuration content.,37
initialize_app,6,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,No description available,405
run_scripts,6,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,No description available,492
medieval_parse_and_sanitize,6,Load.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Load.py,No description available,11
get_cell_details,6,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,"Get detailed breakdown of a specific cell, particularly for summed columns",578
get_consolidation_job,6,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,53
get_all_versions,6,Remove_batch.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Remove_batch.py,No description available,21
run_scripts,6,PNG.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\PNG.py,Main endpoint for running PNG visualization scripts.,174
get_all_versions,6,Create_new_batch.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Create_new_batch.py,No description available,22
initialize_app,6,Calculations_and_Sensitivity.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations_and_Sensitivity.py,No description available,293
get_cell_details,6,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,80
generate_sensitivity_configs,6,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Generates configuration variations for sensitivity analysis.,220
is_specific_target,6,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Check if the file is in the specific target list.,46
is_specific_target,6,ID_Replace_Python_Final.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python_Final.py,Check if the file is in the specific target list.,46
search_and_replace,6,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Recursively search and replace phrases in all Python files.,60
save_updated_file,6,ID_Replace_Python.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Utility_functions\ID_Replace_Python.py,Save the updated file with a new name based on the number of changes.,50
get_versions,6,Front_Subtab_Table.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Data_processors_and_transformers\Front_Subtab_Table.py,No description available,12
get_versions,6,Front_Subtab_HTML.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Data_processors_and_transformers\Front_Subtab_HTML.py,No description available,16
extract_selected_properties,6,PNG_PLOT.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\PNG_PLOT.py,No description available,331
format_number,6,PNG_PLOT.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Visualization_generators\PNG_PLOT.py,No description available,295
get_file_path,5,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,45
load_config_module,5,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Loads a configuration module for a specific version and year.,124
ensure_sensitivity_directories,5,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Ensures that all required directories for sensitivity analysis exist.,56
update_file_path,5,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,No description available,42
directory_structure,5,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,Debug endpoint to return the directory structure,369
run_sensitivity_analysis,5,calculations_sensitivity_adapter.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\calculations_sensitivity_adapter.py,Run sensitivity analysis based on a calculated price.,95
run_sensitivity_analysis,5,updated_sensitivity_routes.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\updated_sensitivity_routes.py,Standalone endpoint to run sensitivity analysis for a specific version.,19
generate_plot,4,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Generates a plot visualization for sensitivity analysis results.,355
get_parameter_info,4,sensitivity_analysis_manager.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_analysis_manager.py,Gets information about a sensitivity parameter including its mapping.,86
run_price_calculation,4,calculations_sensitivity_adapter.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\calculations_sensitivity_adapter.py,Run a price calculation using the Calculations module.,21
create_new_batch,4,Create_new_batch.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Create_new_batch.py,No description available,54
process_version,4,Calculations_and_Sensitivity.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations_and_Sensitivity.py,No description available,126
get_cfa_versions,4,cfa_list.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\cfa_list.py,Find all CFA CSV files with versions 1-100 and return their version numbers.,92
organize_sensitivity_html,4,sensitivity_html_organizer.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\sensitivity_html_organizer.py,Organizes HTML files related to sensitivity analysis into standardized ,14
process_version,4,Calculations.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\Calculations.py,No description available,156
organize_plot_albums,4,album_organizer.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\API_endpoints_and_controllers\album_organizer.py,Organizes PNG plots into standardized album directories that are compatible,16
process_html_file,3,Front_Subtab_HTML.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Data_processors_and_transformers\Front_Subtab_HTML.py,Helper function to process an HTML file and add it to the list,59
get_available_versions,3,Front_Subtab_Plot.py,c:\Users\Mohse\OneDrive\Desktop\Milestone4 - Copy\backend\Data_processors_and_transformers\Front_Subtab_Plot.py,No description available,26
